Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TERM 3 - INPUT ADDRESS - WEB,Chrome 113.0.0.0,,,2023-05-17 23:55:07,2023-05-17 23:56:01,54.334s,PASSED
,,,,,,,
Test Cases/TERM 3 - INPUT ADDRESS - WEB,Chrome 113.0.0.0,,,2023-05-17 23:55:07,2023-05-17 23:56:01,54.167s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-17 23:55:07,2023-05-17 23:55:09,1.921s,PASSED
"navigateToUrl(""https://staging-belleandkate.netlify.app/"")",Chrome 113.0.0.0,,,2023-05-17 23:55:09,2023-05-17 23:55:10,1.126s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-17 23:55:10,2023-05-17 23:55:10,0.189s,PASSED
"click(findTestObject(""TERM 1 - FORGOT PASSWORD - WEB/Page_BELLE  KATE ROOM/Icon_Login""))",Chrome 113.0.0.0,,,2023-05-17 23:55:10,2023-05-17 23:55:11,0.839s,PASSED
"setText(findTestObject(""TERM 1 - SIGN IN - WEB/Page_BELLE  KATE ROOM/Login_emailAddress""), ""ibnuaviandi@gmail.com"")",Chrome 113.0.0.0,Correct Email,,2023-05-17 23:55:11,2023-05-17 23:55:12,0.891s,PASSED
"setEncryptedText(findTestObject(""TERM 1 - SIGN IN - WEB/Page_BELLE  KATE ROOM/Login_password""), ""nG7mAKimZ+tKdK+1F9V+dw=="")",Chrome 113.0.0.0,Correct Password,,2023-05-17 23:55:12,2023-05-17 23:55:12,0.513s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Login""))",Chrome 113.0.0.0,,,2023-05-17 23:55:12,2023-05-17 23:55:13,0.445s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_3""))",Chrome 113.0.0.0,Cart,,2023-05-17 23:55:13,2023-05-17 23:55:15,2.010s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/div_Continue Checkout""))",Chrome 113.0.0.0,"Continue Checkout
",,2023-05-17 23:55:15,2023-05-17 23:55:16,0.663s,PASSED
Url_Checkout = getUrl(),Chrome 113.0.0.0,,,2023-05-17 23:55:16,2023-05-17 23:55:16,0.026s,PASSED
"verifyMatch(Url_Checkout, ""https://staging-belleandkate.netlify.app/checkout/address"", false)",Chrome 113.0.0.0,Assert the URL,,2023-05-17 23:55:16,2023-05-17 23:55:16,0.046s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - INPUT ADDRESS - WEB/Page_BELLE  KATE ROOM/span_Shipping Address""), ""Shipping Address"")",Chrome 113.0.0.0,Assert the Shipping Address,,2023-05-17 23:55:16,2023-05-17 23:55:16,0.754s,PASSED
